Nama Produk;Harga;Kategori_Harga;Urutan
Excelso Kopi Premium - Robusta Gold Kemasan Sachet - 10 x 10 gr;18500;<50000;1
KOPI LIBERIKA WINE BUBUK CIBUNAR KUNINGAN;30000;<50000;1
Biji Kopi 1kg FINE ROBUSTA whole bean coffee bahan es kopi susu grosir;25000;<50000;1
Jamoca Signature 70%Arabica : 30%Robusta 200g Coffee Beans Biji Kopi;37500;<50000;1
Kopi Aroma Mocca Arabika Bandung;45888;<50000;1
Kenal Coffee Djawa Blend Kopi 60% Arabika 40% Robusta 250 Gr;41800;<50000;1
Drip Bag Coffee Arabica Gayo Wine Kopi Arabika Asli Murni Siap Seduh;10900;<50000;1
Kopi Sachet Celup Arabika Arabica Coffee Saset Asli Murni Tanpa Ampas;9900;<50000;1
KOPI TUBRUK ARABIKA BY TANAMERA COFFEE;39900;<50000;1
KOPI AROMA BANDUNG - ARABIKA / ROBUSTA FRESH ASLI - Bubuk / Biji 250gr;33500;<50000;1
KOPI AROMA MOKA ARABIKA 250gr;47000;<50000;1
EXCELSO Java Arabica - Biji Kopi 200 gr;50000;<50000;1
Biji Kopi 100% Full Arabica Mandheling Roasted Commercial - ESPRESSO;40000;<50000;1
Kopi Arabica Toraja biji bubuk origin roasted SEMEKAR Coffee - 200 gr;39560;<50000;1
Kopi Arabica Mandheling 200 Gram (Biji/Bubuk) | Worcas Coffee;47500;<50000;1
Kopi Arabica Aceh Gayo 200 gram - Biji, 100gr;23000;<50000;1
Biji Kopi Arabika Single Origin Gayo Wine;42500;<50000;1
Kopi Arabika Gayo Espresso Base 200g;50000;<50000;1
Kopi Arabika Import 100 Gram Single Origin - Bean/Biji & Ground/Bubuk;46000;<50000;1
Kopi Mokka Arabika Koffie Fabriek Aroma Bandoeng 250 gram;47000;<50000;1
Excelso Kopi Robusta Gold Biji 200G;33500;<50000;1
Biji Kopi Specialty Arabica Toraja Sapan 200 gram - Biji, 100gr;35000;<50000;1
ROBUSTA LAMPUNG kopi fine robusta premium biji bubuk MURRELL COFFEE;40000;<50000;1
Giling Kasar Kopi Aroma Bandung Mokka Arabika 250 gr;39500;<50000;1
Biji Kopi 1kg 100% arabica whole bean coffee es kopi susu grosir bahan;35000;<50000;1
Kopi Aroma Javaco Bandung//Robusta/Arabika;36500;<50000;1
Bubuk Kopi Vietnam blend 250gr robusta arabika biji / bubuk Special;38999;<50000;1
Kopi Blend Arabika Robusta - Ketje Ndeso Blend 100 Gr;20000;<50000;1
Excelso Robusta Gold Biji Kopi 200 Gram;29230;<50000;1
BIJI KOPI 250 GR 100 % ARABICA espresso blend es kopi susu;50000;<50000;1
Biji kopi sangrai fine robusta gayo - natural proses - 100 gram;10000;<50000;1
Robeans Self Drip Coffee | Kopi Tetes Arabika Robusta Flores | 13 g;9000;<50000;1
kopi drip bag paket 5 pcs arabika dan blend;40000;<50000;1
PAK KOS (Coffee Blend) / PREMIUM ARABIKA KHUSUS KOPI SUSU;36500;<50000;1
kopi arabika korea atomi 3in1;2100;<50000;1
Excelso Arabica Gold - Biji Kopi 200 gr;46200;<50000;1
Drip Bag Coffee Bundling Kopi Bubuk Arabika Asli Murni Siap Seduh;14900;<50000;1
Kopi Aroma Bandung 250 Gram Mix Arabika Robusta;41000;<50000;1
Excelso ARABIKA Gold 200 Gr - BIJI KOPI ( BEAN );50000;<50000;1
Kopi Aroma Mokka Arabika;47900;<50000;1
Kopi Sachet Celup Arabika Gayo Wine Arabica Coffee Murni Tanpa Ampas;10900;<50000;1
Kopi House Blend 73 1KG - Biji, 100gr;18000;<50000;1
Biji Kopi 1kg 50/50 whole bean coffee es kopi susu grosir blend;30000;<50000;1
Biji Kopi Fine Robusta Dampit Malang 1Kg By Kieta Coffee;25000;<50000;1
Kios Blend 30 Arabika 70 Robusta Kopi Susu Espresso Biji / Bubuk 250g;35000;<50000;1
Kopi Arabika Kilimanjaro Tanzania 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;<50000;1
Kopi Liberika original 100gr;25000;<50000;1
Kopi Arabika Mysore India 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;<50000;1
BIJI KOPI LIBERIKA LAMPUNG GRADE 1;40000;<50000;1
KAPAL API Special Silver 380 gr;24700;<50000;1
Kepala Djenggot Coffee Bag Kopi Celup Extra Strong 70 gr;20000;<50000;1
Kopi arabika Drip bag coffee 10 gr - ( pilih 3 origin );28000;<50000;1
KOPI EXCELSA LIBERIKA TEMANGGUNG;20000;<50000;1
Kopi Bubuk Kapal Tanker Old - 780 Gr;33600;<50000;1
Kopi Arabika Yirgacheffe Ethiopia 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;<50000;1
Kopi Liberika Kopi Bedhag Djemberan 100 Gram;22900;<50000;1
Biji Kopi Liberika/Nangka 500gr;30000;<50000;1
Sumatera Lintong Arabica Grade 1 Biji Kopi Roasted Beans - GILING HALUS, 100 gram;46000;<50000;1
Kopi Arabika Toraja Sapan (Bubuk & Biji ) 100 Gr - Medium Dark,  Bubuk Kasar;35000;<50000;1
Teryco Roasters Ageng Rejeki - Biji Kopi Houseblend Full Robusta Kopsu - 200 Gr;28000;<50000;1
Biji Kopi Bubuk Arabika Flores Bajawa Arabica Coffee Omni Roast Beans;42999;<50000;1
Kopi Arabika Da Torres Brazil 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;<50000;1
Kopi Aroma Mocca Arabika Bandung;50000;<50000;1
Kopi Luwak Plus Gula Tebu Black Coffee Bag 10x25gr Twin Pack;21780;<50000;1
Kopi Luwak Murni Black Coffee Bag 140gr + 140gr - 3 Pcs;39750;<50000;1
Biji Kopi Bubuk Arabika Papua Wamena Arabica Coffee Beans Roasted Bean - 100 Gram, Biji Kopi;42999;<50000;1
Biji Kopi Bubuk Robusta Sidikalang Asli Coffee Beans Espresso 250gr;39900;<50000;1
Kopi Liberika Lampung 250gr;35000;<50000;1
Kopi Bubuk Kapal Tanker New - 780 Gr;33600;<50000;1
KAPAL API Special Silver 2 X 380 gr;40000;<50000;1
Kopi Bubuk Robusta Naga Sanghie;55000;50000-100000;2
KOPI ROBUSTA SEMENDO DARK ROAST 1 KG BIJI KOPI BUBUK - Biji Kopi;74000;50000-100000;2
Kopi Ujung Robusta Toraja Premium 250 Gram;60000;50000-100000;2
Biji Kopi Susu Arabika 50% Robusta 50% Coreros House Blend - 500gr;72100;50000-100000;2
Bali Bo'hem Biji Kopi Organik Arabika BATAK (pouch) - Single Origin - 200g;89500;50000-100000;2
Kopi Robuta Dampit Malang 1 Kg (Biji/Bubuk);65000;50000-100000;2
Espresso Blend 500 gram Roast Bean Coffee Biji Kopi;94900;50000-100000;2
WoCA Kopi Bali Robusta 20 Sachets;54999;50000-100000;2
BIJI KOPI 100% FULL ROBUSTA Medium Roast 1KG - Mardika Coffee;75000;50000-100000;2
Kopi Java Robusta 900g - Roastedbean (biji sangrai);69000;50000-100000;2
Kopi Naga Sanghie Robusta 500 Gram;51500;50000-100000;2
Kopi Susu Blend 100% Robusta 1kg Coffee Beans Biji Kopi - Coarse/Kasar;88800;50000-100000;2
Kopi Bubuk Murni Robusta Tradisional Kopindari - 789 Gram;80000;50000-100000;2
Gayo Natural Single Estate Arabica 200g biji kopi coffee beans;86000;50000-100000;2
Kopi Robusta Natural Sidikalang Premium 1 Kg;87000;50000-100000;2
Kopi Burundi honey process ;75000;50000-100000;2
kopi kapsul excelso unakaffe Robusta gold;53500;50000-100000;2
Biji Kopi Bubuk Robusta Sidikalang 1kg 1 kg;90000;50000-100000;2
BIJI KOPI ETHIOPIA SIDAMO;95000;50000-100000;2
Biji Kopi Arabika Specialty Ethiopia Yirgacheffe Fullwash;87500;50000-100000;2
Kopi Arabika GAYO WINE | biji Kopi Aceh single origin arabica SPECIAL - 100g, Biji Sangrai;85000;50000-100000;2
Kopi Arabika lintong Natural Sumatra Biji Kopi Matang Bubuk 1kg;68000;50000-100000;2
Kopi Robusta Dampit Tirtoyudo Kualitas Pasar (Kemasan 1kg);78000;50000-100000;2
Biji Kopi 100% Full Robusta Dampit Roasted Commercial - BEST PRICE;85000;50000-100000;2
Biji Kopi Bubuk Arabika Papua Wamena Arabica Coffee Beans Coffe 200 gr;79900;50000-100000;2
Kopi Fine Robusta Aceh Gayo by Kieta Coffee 1000gr - Biji Kopi;65900;50000-100000;2
Kopi Robusta Dampit Natural 1kg (biji/bubuk);85000;50000-100000;2
Kopi Arabika Kintamani Bali Arabica Coffee Roast Beans 200g Biji Bubuk;59900;50000-100000;2
KOPI BUBUK ARABIKA GAYO 1 KG (TAKENGON) - Biji Kopi;90000;50000-100000;2
Biji Kopi Bubuk Robusta Toraja 1 kg 1kg Kopi Susu;85000;50000-100000;2
Kopi Arabika Kerinci Natural | Biji Kopi Single Origin Arabica 200gr;59900;50000-100000;2
Biji Kopi Arabika Kerinci Natural Arabica Coffee Bean Manual Brew 200g;79900;50000-100000;2
Kopi Robusta Aceh Gayo 1 Kg;83000;50000-100000;2
KOPI BUBUK MURNI ROBUSTA 1 KG KOPI HITAM ASLI MURAH BERKUALITAS;60000;50000-100000;2
Blueberry Blast Natural Anaerob Arabica Coffee Arabika Biji Kopi Bubuk;62000;50000-100000;2
ARUTALA Kopi Vietnam Central Highland Robusta 500 Gram;77999;50000-100000;2
TUKU - Biji Kopi Arabika: Tetangga Blend (250 gram);90000;50000-100000;2
Kopi Robusta Dampit Istimewa 1 Kg;79999;50000-100000;2
Biji Kopi Bubuk Robusta Bali Kintamani Sakha Coffee Roastery 500 Gram;74900;50000-100000;2
Biji Kopi Bubuk Robusta Lampung 1kg 1 kg;75000;50000-100000;2
Anomali Coffee Biji Kopi Black Pearl;100000;50000-100000;2
Biji Kopi Liberika Meranti khas Riau 200gr;60000;50000-100000;2
WoCA Kopi Bali Robusta Lanang Peaberry 150 gram X 3 Pack - Biji;51999;50000-100000;2
Kopi Lanang Robusta Pagar Alam Peaberry Coffe Bean Espresso Biji 200gr - Biji Kopi;50900;50000-100000;2
Full Robusta Kopi Susu 1 KG | Biji Kopi Susu - BEANS;79900;50000-100000;2
BUBUK KOPI LIBERIKA TRIBULUS GULA AREN 1KG / SIAP SEDU / CAMPUR MIXED;60000;50000-100000;2
Kopi Aroma Robusta Bandung 500 Gram Bubuk/Biji Asli Banceuy;68800;50000-100000;2
OZONITE MANTESA 84H | FILTER COFFEE | SPECIALTY COFFEE - 100gr;60000;50000-100000;2
Bubuk Kopi Robusta Naga Sanghie 500gr - Bubuk Halus;53000;50000-100000;2
Limited Edition Giftpack Kapal Api;75000;50000-100000;2
KOPI ROBUSTA FINE DAMPIT 500GR;60000;50000-100000;2
Kopi Robusta Preanger 500 Gr -Fine Robusta- Bean/Biji & Ground/Bubuk - Coarse - Kasar;79500;50000-100000;2
Kopi Robusta Aceh Gayo - Roasted Bean - 500 Gram - WHOLE BEAN;61750;50000-100000;2
Kopi Biji Sangrai Robusta Pagaralam Super ( 1kg ) - Giling Kasar;72000;50000-100000;2
Kopi Biji Sangrai Robusta Pagaralam ( 1kg ) - Biji Kopi;72000;50000-100000;2
Kopi Robusta Sepenanjung Bengkulu 900gr / Fresh Roasting;85000;50000-100000;2
Kopi Arabika GAYO WINE | biji Kopi Aceh single origin arabica SPECIAL;85000;50000-100000;2
Roasted Bean Premium Robusta Natural Tuang Coffee 1kg;95785;50000-100000;2
Kopi Robusta Sidikalang - Roasted Bean - 500 Gram - WHOLE BEAN;61750;50000-100000;2
KOPI ROBUSTA BALI PUPUAN TABANAN 1kg BIJI/BUBUK FRESH ROASTED-INDISCHE - Biji;96900;50000-100000;2
HALU FRUITY CHOCOLATE | HONEY | SPECIALTY COFFEE ESPRESSO - 100gr;65000;50000-100000;2
MANTESA HIBISCUS TEA | THERMAL WASH | SPECIALTY COFFEE FILTER - 100gr;60000;50000-100000;2
Kopi nangka liberika jawabarat mukapayung;90000;50000-100000;2
Biji Kopi Liberika Roasting 1kg (100% Original);60000;50000-100000;2
BUBUK GILING KASAR KOPI LIBERIKA MIX ARABIKA NATURAL 1KG;67000;50000-100000;2
Bubuk Kopi Liberika Nangka Wine Proses 1kg Kemasan Label Swalayan;65000;50000-100000;2
Bubuk Kopi Liberika Mix Jahe Merah 1Kg Terbukti !!;65000;50000-100000;2
BIJI KOPI LIBERIKA MIX ARABIKA ROASTING 1KG SUPER;72000;50000-100000;2
Kopi ADMIRAL Liberika 225gr - Bubuk;59000;50000-100000;2
Kopi Luak Liberika Sudah Sangrai;70000;50000-100000;2
BUBUK GILING KASAR KOPI ARABIKA WINE MIX LIBERIKA 1KG;75000;50000-100000;2
BUBUK KOPI ASLI ROBUSTA DAN LIBERIKA 100% KOPI TUBRUK HALUS;57000;50000-100000;2
Biji Kopi Liberika Wine Proses Roasting 1kg (100% Original);60000;50000-100000;2
kopi liberika kopinata;60000;50000-100000;2
Kopi Nangka 500Gr atau Kopi Liberika Excelsa Produk Kopi Juara;60000;50000-100000;2
BIJI KOPI LIBERIKA MIX ARABIKA ROASTING 500GRAM SUPER 100%;53000;50000-100000;2
ARABICA BRAZIL CERRADO FAZENDA SANTA MARIA BIJI KOPI;70000;50000-100000;2
ROAST BEAN ROBUSTA TEMANGGUNG JUAL BIJI KOPI HARGA GROSIR - 1KG, BIJI;65000;50000-100000;2
1kg Biji Kopi TOEKU Blend 100% Arabika untuk Kopi Susu;87500;50000-100000;2
Kopi Robusta Flores 500 Gr -Fine Robusta- Bean/Biji & Ground/Bubuk - Bean - Biji;79500;50000-100000;2
Kopi Arabika Semendo | Biji Kopi Single Origin Arabica 200gr;58702;50000-100000;2
KOPI ROBUSTA JAVA 1KG - BIJI;75000;50000-100000;2
Kopi Lanang Robusta Pagar Alam Peaberry Coffe Bean Espresso Biji 200gr;50900;50000-100000;2
Kopi Robusta Sidikalang 500 Gr -Fine Robusta- Bean/Biji & Ground/Bubuk - Bean - Biji;79500;50000-100000;2
Bubuk Kopi Liberika atau Nangka 1kg;60000;50000-100000;2
ARUTALA Kopi Gayo Alur Badak Robusta Coffee 500 Gram;71999;50000-100000;2
KOPI ROBUSTA FINE DAMPIT 500GR - BIJI;60000;50000-100000;2
Kopi Fajarasa Italian Espresso Biji Kopi Espresso Blend 500 gram;100000;50000-100000;2
ARUTALA Kopi Gayo Alur Badak Robusta Coffee 500 Gram - Biji;71999;50000-100000;2
Excelso Kopi Java Arabica Biji 200G;60000;50000-100000;2
Kopi Java Blend 200 Gram (Blend Kopi Susu Arabica-Robusta) - Whole Beans;58500;50000-100000;2
Kopi Jawa Temanggung 1 Kg (Biji Kopi Robusta - Espresso) - Whole Beans;95000;50000-100000;2
Kopi Jawa Temanggung 1 Kg (Biji Kopi Robusta - Espresso) - Whole Beans;95000;50000-100000;2
Biji Kopi Robusta Temanggung Wine Coffee Manual Brew Espresso 200 Gram - Bubuk Halus;50900;50000-100000;2
KOPI ARABIKA HALU BANANA HONEY 200 GRAM BIJI DAN BUBUK;76999;50000-100000;2
TUKU - Biji Kopi Arabika: Cipete Blend (250 gram);98000;50000-100000;2
Biji Kopi Robusta Temanggung Wine Coffee Manual Brew Espresso 200 Gram;50900;50000-100000;2
Kopi Bubuk Robusta Temanggung / Kopi Lelet / Coffee Robusta - pack valve;86000;50000-100000;2
Kopi Robusta Lampung 500 Gr -Fine Robusta- Bean/Biji & Ground/Bubuk - Bean - Biji;79500;50000-100000;2
Kopi Bestco Premium Robusta Mandheling 500 gr;70000;50000-100000;2
kopi Robusta - fine,  500gram;60000;50000-100000;2
Kopi Arabika Ijen Bondowoso Espresso 1kg | Commercial Coffee Beans;100000;50000-100000;2
Kopi Susu Blend 100% Robusta 1kg Coffee Beans Biji Kopi;88800;50000-100000;2
Kopi Robusta Dampit Natural 1kg (biji/bubuk) - Biji Kopi;85000;50000-100000;2
Kopi Arabika Sunda Aromanis | Biji Kopi Single Origin Arabica 200gr;59900;50000-100000;2
Kopi Biji Sangrai Robusta Semendo ( 1kg ) - Biji Kopi;72000;50000-100000;2
Kopi Robusta Kerinci 500 Gr -Fine Robusta- Bean/Biji & Ground/Bubuk - Coarse - Kasar;79500;50000-100000;2
Kopi Arabika Gayo Wine Arabica Coffee 200gr Sakha Roastery Biji Bubuk;79900;50000-100000;2
Kopi Polomero Espresso Blend 500 Gram (Biji/Bubuk) | Worcas Coffee;98000;50000-100000;2
KOPI SUSU BLEND 50/50 ARABIKA ROBUSTA - HALFTONE 1KG - 200 GRAM;59000;50000-100000;2
WoCA Kopi Bali Robusta Lanang Peaberry 150 gram X 3 Pack;51999;50000-100000;2
WorkshopBrother Kopi Robusta Lampung 1Kg - Biji atau Bubuk;85000;50000-100000;2
Biji Kopi Fine Robusta Flores Manggarai 1KG by kieta coffee;65900;50000-100000;2
Kopi Luwak High Class Dark Roast Powder 200gr;76000;50000-100000;2
Biji Kopi Bubuk Fine Robusta Gayo Aceh Coffee Sakha Roastery 500 Gram;74900;50000-100000;2
